node,conceptualized_node,node_type
sensor volume,"volume, measurement, container, space, gauge",entity
module thermal cycling setup,"equipment, device, setup, test, lab",entity
sensor,"sensor, device, component",entity
topics,"updates, news, content",entity
Kambiz,"person, man, man's name",entity
Timon,"person, character, friend, companion",entity
Ulli,"person, participant, individual, personage",entity
FDR,"person, president, leader, politician, statesman, democrat",entity
Karo,"army, forces, military",entity
Barrel tooling design finalisation/roll-out,"update, design, software",entity
ITk week presenters,"presenters, hosts, people, individuals, guests",entity
minutes,"time, unit, measure",entity
Bob,"person, man, volunteer, individual",entity
humidity indicators,"humidity, gauge, device, sensor, tool, equipment, meter",entity
BPOL v5,"software, programming, tool, utility, module",entity
google docs,"document, tool, software",entity
trickier,"adjective, word, term, concept, description",entity
Didier et al.,"authors, researchers, scientists, group, team, publication",entity
actions,"actions, deeds, steps, moves, decisions, choices",entity
start,"initiate, commence, begin, launch, initiate, ignite, spark",relation
contacted,"reached, got in touch, made contact, connected, made a call, reached out
communicated, got through, contacted, interacted, linked up",relation
present,"appear, exist, be there, show up",relation
consider,"think, regard, view, analyze, ponder",relation
written,"composed, created, authored, penned, crafted",relation
test,"try, examine, evaluate",relation
need,"require, demand, necessity, obligation",relation
contact,"touch, connect, get in touch, link, reach out, reach",relation
stick,"cling, attach, bond, stick, adhere, join",relation
write,"create, compose, author, draft, pen, produce",relation
has,"possess, contain, hold, own, have",relation
recorded,"captured, documented, noted, logged",relation
is,"exist, belong, constitute, equal, represent",relation
because,"due to, thanks to, owing to, as a result of",relation
cause,"initiate, induce, prompt, trigger, provoke, lead to, result in, produce, create",relation
order,"rank, sequence, arrange, organize",relation
planned,"organized, designed, schemed, arranged",relation
was,"existed, happened, occurred, took place, existed",relation
commit,"pledge, promise, vow, bind, obligate",relation
speak,"utter, communicate, verbalize, express, enunciate",relation
kept,"held, preserved, retained, maintained, kept",relation
expected,"hoped for, anticipated, projected, forecasted, supposed, predicted",relation
comment,"offer opinions, share thoughts, give feedback",relation
makes,"create, produces, generates, manufactures",relation
copy,"replicate, duplicate, mirror, imitate, reproduce",relation
by,"marked, sign, denoted, indicated",relation
validate,"verify, confirm, prove, authenticate, endorse",relation
tested,"examined, analyzed, evaluated, assessed",relation
update,"refresh, modify, revise, change, renew",relation
question,"ask, inquire, query, probe, interrogate",relation
carried,"held, moved, transported, bore, brought, carried",relation
add,"append, augment, increase, enlarge",relation
after,"follow, next, afterwards, later, afterward",relation
will,"plan to, intend to, decide to, propose to, commit to",relation
evaluated,"assessed, judged, rated, reviewed, critiqued",relation
include,"comprise, encompass, contain",relation
at the same time,"coexist, coincide, synchronize, overlap, happen together",relation
give,"donate, bestow, impart, present, share",relation
carry,"bear, hold, support, lift, convey",relation
bring,"carry, transport, bring, move, transfer",relation
volunteer,"offer, donate, give, participate, contribute",relation
inform,"notify, advise, enlighten, share, disclose",relation
email,"send, contact, message, communicate",relation
labelled,"tagged, marked, labeled, designated, identified",relation
send,"transmit, dispatch, convey, forward, ship",relation
given,"handed, provided, offered, bestowed, presented",relation
care,"look after, nurture, protect, concern, worry",relation
agree,"concur, comply, consent, assent",relation
forgot,"misremember, overlook, lose track, forget, neglect",relation
before,"precede, lead, earlier, prior, precedes",relation
added,"enlarged, augmented, increased",relation
okay,"affirm, agree, confirm",relation
acceptable,"permissible, tolerable, valid, acceptable, suitable",relation
should,"ought, must, require, expected, necessary",relation
check,"verify, inspect, test, examine",relation
is participated by,"have, feature, host, sponsor",relation
focus,"concentrate, prioritize, attention, emphasis, center",relation
be,"exist, occur, happen, take place, be present",relation
held,"possess, contain, keep, hold, retain",relation
as a result,"consequence, outcome, effect, result, outcome, yield, follow, lead",relation
defined,"characterize, describe, specify, define, delineate",relation
finalised,"settled, concluded, finalized, completed, finished",relation
watched,"observed, noticed, saw, viewed, gazed",relation
different,"vary, change, contrast, disparity, divergence",relation
help,"assist, aid, support, relieve, lend a hand",relation
optimised,"improved, refined, enhanced, maximized, perfected",relation
discuss,"debate, talk, converse, deliberate",relation
led,"directed, guided, managed, headed, steered",relation
comply,"obey, follow, adhere, conform",relation
use,"utilize, apply, employ, adopt",relation
